0.0     	2.40154e-08
5.0     	2.40154e-08
21.666664     	2.38377e-08
45.0     	2.33757e-08
75.0     	2.28394e-08
111.66668     	2.29721e-08
155.0     	2.42562e-08
205.0     	2.71158e-08
261.66668     	3.06052e-08
325.0     	3.34809e-08
395.0     	3.54038e-08
471.6668     	3.60505e-08
555.0     	3.55118e-08
645.0     	3.50206e-08
741.6668     	3.49162e-08
845.0     	3.5272e-08
955.0     	3.61614e-08
1071.6668     	3.75042e-08
1195.0     	3.89823e-08
1325.0     	4.05483e-08
1461.6668     	4.22025e-08
1605.0     	4.39454e-08
1755.0     	4.58262e-08
1911.6668     	4.79959e-08
2075.0     	5.04962e-08
2245.0004     	5.33422e-08
2421.6668     	5.65473e-08
2605.0     	6.00552e-08
2795.0     	6.35442e-08
2991.6668     	6.69055e-08
3195.0     	7.01265e-08
3405.0     	7.31959e-08
3621.6668     	7.60562e-08
3845.0     	7.82954e-08
4075.0     	7.96946e-08
4311.668     	8.02401e-08
4555.0     	7.99251e-08
4805.0     	7.88068e-08
5061.668     	7.77528e-08
5325.0     	7.74227e-08
5595.0     	7.7825e-08
5871.668     	7.89466e-08
6155.008     	8.07876e-08
6445.148     	8.36879e-08
6742.492     	8.79675e-08
7047.816     	9.36161e-08
7362.36     	1.00626e-07
7687.92     	1.09088e-07
8026.928     	1.20193e-07
8382.58     	1.34987e-07
8758.916     	1.53734e-07
9160.944     	1.76737e-07
9594.76     	2.00179e-07
10067.668     	2.16004e-07
10588.308     	2.22482e-07
11166.796     	2.33081e-07
11814.868     	3.23419e-07
12546.024     	5.18677e-07
13375.676     	7.44192e-07
14321.32     	8.90065e-07
15402.704     	1.15946e-06
16641.984     	1.84072e-06
18063.908     	2.61141e-06
19696.028     	3.77522e-06
21568.852     	5.98413e-06
23716.064     	8.19817e-06
26174.716     	9.01443e-06
28985.46     	9.16586e-06
32192.732     	9.47094e-06
35845.004     	1.02729e-05
40000.0     	6.98508e-06
